dgp_code,n_train,rho_eps,x,n_seed,core_vs_oracle_mean,core_vs_oracle_std,tabpfn_naive_vs_oracle_mean,tabpfn_naive_vs_oracle_std,independence_vs_oracle_mean,independence_vs_oracle_std,div_vs_oracle_mean,div_vs_oracle_std,tabpfn_real_vs_oracle_mean,tabpfn_real_vs_oracle_std,tabicl_vs_oracle_mean,tabicl_vs_oracle_std
DGP1_LINEAR,2000,0.6,2.5,10,0.12877439147473363,0.03546530607610476,0.7764637803026908,0.06475138818982504,0.46505904376586227,0.020214661144418233,0.26284799176853596,0.06597367917829546,0.14658648105407507,0.04968875519297485,0.20384474284911963,0.07697518204707936
DGP1_LINEAR,2000,0.6,2.75,10,0.15730292800915163,0.04472003966557358,0.9371240584026543,0.060079319783190206,0.4739130066150638,0.023015470998185163,0.2785026138928289,0.07349841923764687,0.17568485544313614,0.060153213411208106,0.2362242971331939,0.09107450740327475
DGP1_LINEAR,2000,0.6,3.0,10,0.16086796367802111,0.05733559047481926,1.1091943627571204,0.07130796788589858,0.47601429579248367,0.01925341686970243,0.28552616494383043,0.09005621639958063,0.18554917736901252,0.07852418845136568,0.27239125106714157,0.11333849458763762
DGP3_PRE_ADDITIVE,2000,0.6,0.0,10,0.33493119263090226,0.03220860105586532,0.9115816896999751,0.08131074466187523,0.5861797032325767,0.026158990602102788,0.5336867257241663,0.025494801111659353,0.3501446844745789,0.0472612083463597,0.5050384685696784,0.05623744010263859
DGP3_PRE_ADDITIVE,2000,0.6,0.25,10,0.3015829213694263,0.03972991597786122,0.7216617480187829,0.10075065242659137,0.5652675094443042,0.03422805698050182,0.5382215818843682,0.026088196899522065,0.32450780495853015,0.056124384137332874,0.4677450711586502,0.05869600625147953
DGP3_PRE_ADDITIVE,2000,0.6,0.5,10,0.2699169215813417,0.03411062396972974,0.5267207404293113,0.1050028019152126,0.5240773469659205,0.030197139896882805,0.5575270251082193,0.029659860043279352,0.28797763365020473,0.04788075545393871,0.4277149256277947,0.0640015387979218
DGP3_PRE_ADDITIVE,2000,0.6,0.75,10,0.24687408626378984,0.03669887695202714,0.384134377024519,0.07947823678694667,0.48584889759061767,0.032730561143673106,0.5508355732105745,0.016048853295166678,0.25221244915448515,0.03772610082462059,0.3674854960628444,0.07226807575192294
DGP3_PRE_ADDITIVE,2000,0.6,1.0,10,0.24790635678418563,0.039485375478915195,0.33321073982522464,0.058270181285811073,0.44022501163032174,0.03126494004710464,0.5779601837160886,0.025883581628029475,0.247158212990824,0.04455221733236621,0.3479278716173052,0.07444810669975423
DGP3_PRE_ADDITIVE,2000,0.6,1.25,10,0.2744580900593034,0.030193002095974322,0.3289472199146055,0.06049237142107938,0.4290565152607864,0.031083817672396638,0.5917900350010019,0.04356842150748986,0.26651786308202624,0.027862626703726676,0.3521008332878985,0.08517368839480018
DGP3_PRE_ADDITIVE,2000,0.6,1.5,10,0.26392999558145935,0.034179140315623364,0.2861739499283267,0.0452564642973151,0.40723630275214767,0.03906303886883695,0.5738259886622074,0.04605700739454489,0.25545579200161594,0.037594307901941536,0.34588540189941475,0.06751301781493935
